seccion,tipo,id_casilla,domicilio,ubicacion,referencia,lat,lng
0502,BASICA,1,"10 NORTE, NÚMERO 203, CUAUHTÉMOC, CÓDIGO POSTAL 68030, OAXACA DE JUÁREZ, OAXACA",ESTACIONAMIENTO DEL HOTEL MARÍA TERESA INN,ENTRE LA CALLE 9 NORTE Y ANDADOR EL TEQUIO,17.0889093,-96.74363869999990
0502,CONTIGUA,1,"10 NORTE, NÚMERO 203, CUAUHTÉMOC, CÓDIGO POSTAL 68030, OAXACA DE JUÁREZ, OAXACA",ESTACIONAMIENTO DEL HOTEL MARÍA TERESA INN,ENTRE LA CALLE 9 NORTE Y ANDADOR EL TEQUIO,17.0889093,-96.74363869999990
0503,BASICA,1,"PRIMERA PONIENTE, NÚMERO 728, CUAUHTÉMOC, CÓDIGO POSTAL 68030, OAXACA DE JUÁREZ, OAXACA",DOMICILIO PARTICULAR,ENTRE LAS CALLES 7 NORTE Y 9 NORTE,17.0888709,-96.7447119
0504,BASICA,1,"VILLA HERMOSA, SIN NÚMERO, FRACCIONAMIENTO LOS CEDROS, SANTA ROSA PANZACOLA, CÓDIGO POSTAL 68010, OAXACA DE JUÁREZ, OAXACA",CANCHA DEPORTIVA LOS CEDROS,ENFRENTE DE LA QUINTA PRIVADA DE VILLA HERMOSA,17.0904527,-96.75040290000000
0505,BASICA,1,"MANUEL ÁVILA CAMACHO, NÚMERO 100, GUADALUPE VICTORIA, CÓDIGO POSTAL 68026, OAXACA DE JUÁREZ, OAXACA",DOMICILIO PARTICULAR,ENTRE LAS CALLES ADOLFO LÓPEZ MATEOS Y ÁLVARO OBREGÓN,17.0841502,-96.74771609999990
0506,BASICA,1,"6 NORTE, NÚMERO 308, CUAUHTÉMOC, CÓDIGO POSTAL 68030, OAXACA DE JUÁREZ, OAXACA",DOMICILIO PARTICULAR,ESQUINA CALLE 6 NORTE Y 4 ORIENTE,17.0835852,-96.7422696
0507,BASICA,1,"CIRCUITO DE AHUEHUETES FRACCIONAMIENTO PASOS ARCOS, OAXACA DE JUAREZ 68045",,A UN COSTADO DEL MERCADO AURORA,17.0818593,-96.7270605
0508,BASICA,1,"ROCÍO, NÚMERO 320, LOMAS DEL CRESTÓN, CÓDIGO POSTAL 68046, OAXACA DE JUÁREZ, OAXACA",AL EXTERIOR DEL DOMICILIO PARTICULAR,ESQUINA CON CALLE DIAMANTE,17.0865494,-96.72035249999990
0509,BASICA,1,"GERANIOS, 204, REFORMA, CÓDIGO POSTAL 68050, OAXACA DE JUÁREZ, OAXACA",LIBRERIA MARANATA ,ENTRE AVENIDA DE LAS ETNIAS Y CALLE EMILIO CARRANZA,17.0836699,-96.7150092
0510,BASICA,1,"PROLETARIADO MEXICANO, SIN NÚMERO, UNIDAD HABITACIONAL FOVISSSTE, CÓDIGO POSTAL 68027, OAXACA DE JUÁREZ, OAXACA",EXPLANADA DE PROMOTORA DEL DESARROLLO COMUNITARIO DEL MÓDULO SOCIAL RICARDO FLORES MAGÓN ASOCIACIÓN CIVIL FOVISSSTE,ENTRE LA CALLE ADOLFO LÓPEZ MATEOS Y BOULEVARD MÁRTIRES DE CHICAGO,17.0849834,-96.7128347
0511,BASICA,1,"ESTEBAN BACA CALDERÓN, NÚMERO 303, CUARTA ETAPA INFONAVIT PRIMERO DE MAYO, CÓDIGO POSTAL 68027, OAXACA DE JUÁREZ, OAXACA",ALBERGUE MUNICIPAL DE OAXACA DE JUÁREZ (CASA DE DÍA),A UN COSTADO DEL GIMNASIO MUNICIPAL,17.0833264,-96.7090539
0512,BASICA,1,"CENTRAL, SIN NÚMERO, CUARTA ETAPA INFONAVIT PRIMERO DE MAYO, CÓDIGO POSTAL 68027, OAXACA DE JUÁREZ, OAXACA",PLAZUELA DE SAN JOSÉ,A UN COSTADO DE LA CAPILLA DE SAN JOSÉ,17.0865092,-96.71428139999990
